,A01_02_1FE,A02_01_1FE,A03_01_1FE,A04_01_1FE,A04_04_1FE,A05_01_1FE,A06_01_1FE,A07_01_1FE,A08_01_1FE,A09_01_1FE,A10_01_1FE,A10_02_1FE,A11_01_1FE,A13_01_1FE,A13_03_1FE,A14_01_1FE,A15_02_1FE,A19_01_1FE,A19_03_1FE,A20_01_1FE,A20_03_1FE,A22_01_1FE,A23_01_1FE,A24_02_1FE,A24_04_1FE,A25_01_1FE,A27_02_1FE,A28_02_1FE,A29_01_1FE,A32_01_1FE,A34_01_1FE,A34_02_1FE,A35_01_1FE,A36_01_1FE,A36_02_1FE,A39_01_1FE,A39_02_1FE,A39_04_1FE,A40_02_1FE,A41_01_1FE,A42_02_1FE,A43_02_1FE,A44_01_1FE,A45_02_1FE,A46_01_1FE,A46_02_1FE,A47_01_1FE,A47_02_1FE,A48_01_1FE,A48_05_1FE,A49_01_1FE,A53_01_1FE,A54_02_1FE,A55_01_1FE,A55_02_1FE,A56_01_1FE,A58_01_1FE,A58_03_1FE,A59_01_1FE,A62_01_1FE,A62_03_1FE,A66_02_1FE,A67_01_1FE,A68_01_1FE,A69_01_1FE,A69_02_1FE,A70_01_1FE,A70_03_1FE,A72_01_1FE,A72_02_1FE,A73_01_1FE,A75_02_1FE,A79_02_1FE,A81_01_1FE,A81_03_1FE,A82_02_1FE,A83_02_1FE,A85_01_1FE,A88_02_1FE,A89_01_1FE,A89_02_1FE,A90_03_1FE,A90_04_1FE,A91_01_1FE,A91_02_1FE,A92_01_1FE,A93_01_1FE,A94_01_1FE,A94_02_1FE,A94_03_1FE,A95_01_1FE,V01_01_1FE,V06_02_1FE,V07_01_2FE,V07_02_2FE,V12_01_2FE,V18_02_1FE,V19_01_2FE,V19_02_2FE,V30_01_1FE,V31_01_2FE,V32_02_2FE,V36_02_2FE,V40_01_1FE,V48_03_2FE,V50_01_1FE,V50_01_2FE,V50_02_1FE,V53_02_1FE,V54_01_1FE
A36_02_1FE__bin.11_01497,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,88,0,0,0,0,0,0,2,0,0,0,0,0,0,0,414,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,427,0,0,0,0,0,0
A36_02_1FE__bin.11_01498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,3,0,0,0,0,0,0,148,0,0,0,0,0,0,4,0,0,0,0,0,0,0,784,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,297,0,0,0,0,0,652,1,0,0,0,7,0
A36_02_1FE__bin.11_01499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,80,0,0,0,0,0,0,3,0,0,0,0,0,0,0,317,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,139,0,0,1,0,0,313,3,0,0,0,2,0
A36_02_1FE__bin.11_01500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,0,1,0,0,0,267,0,0,0,0,0,0
A36_02_1FE__bin.11_01501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105,0,0,0,0,0,448,0,0,0,0,0,0
A36_02_1FE__bin.11_01502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,3,0,0,0,423,0,0,0,0,0,0
A36_02_1FE__bin.11_01503,0,0,0,0,0,0,0,4,0,0,0,0,109,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,94,0,0,0,0,0,0,0,0,0,0,2,0,0,0,440,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,199,0,2,0,0,0,410,1,0,0,0,1,0
A36_02_1FE__bin.11_01504,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,1,0,0,0,0,0,1,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,240,0,0,0,0,1,0
A36_02_1FE__bin.11_01505,1,0,0,1,43,1,0,655,1,1,0,0,102,35,0,0,0,0,0,0,0,0,0,0,0,43,163,1,1,0,0,0,1,0,58,0,0,1,0,0,0,0,108,1,1,0,0,0,1,0,0,3,0,123,0,11,0,0,2,1,0,2,0,0,0,2,193,0,1,0,0,118,0,0,7,0,372,0,0,0,0,446,26,1,0,2,2,196,0,108,0,0,0,0,0,0,0,262,26,13,34,0,0,497,2,0,0,1,1,1
A36_02_1FE__bin.11_01506,0,0,0,0,8,0,0,196,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,1,0,9,82,0,0,3,0,0,0,1,40,0,0,0,0,0,0,0,43,6,0,0,0,0,0,0,0,1,0,239,0,1,0,0,0,3,0,0,0,0,0,0,79,0,0,0,0,44,0,2,0,0,196,1,0,0,1,407,24,0,1,1,0,60,0,0,0,0,0,1,0,3,0,212,31,2,3,0,0,434,0,0,0,0,12,0
A36_02_1FE__bin.11_01507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,15,0,0,0,0,359,0,0,0,0,0,0
A36_02_1FE__bin.11_01508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,10,0,0,0,0,0,0,13,0,0,81,0,0,0,99,0,0,0,0,86,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,305,0,0,0,0,24,0,0,0,0,0,0,0,0,0,605,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,361,46,1,0,0,0,691,0,0,0,41,0,0
A36_02_1FE__bin.11_01536,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,142,0,1,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,295,0,0,0,0,2,0,0,0,1,0,0,0,0,0,865,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
A36_02_1FE__bin.11_01538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,73,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,97,1,0,0,0,16,0,0,0,0,0,0,0,0,0,386,0,0,15,0,0,0,0,0,28,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,75,0,0
A36_02_1FE__bin.11_01541,18,0,0,4,2,1,1,18,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,32,0,3,0,0,90,73,0,5,0,279,0,0,0,38,58,1,0,0,17,0,3,0,0,0,0,0,51,3,0,0,58,1,0,16,0,0,0,1,0,0,324,294,1,11,0,0,5,0,0,5,0,0,35,0,0,8,682,2,0,39,0,0,6,0,25,0,46,0,0,0,0,0,0,13,17,0,0,8,981,0,1,0,23,2,0
A36_02_1FE__bin.11_01542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,43,0,0,0,0,0,0
A36_02_1FE__bin.11_01543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0
A36_02_1FE__bin.11_01544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,116,0,0,0,0,0,0
A36_02_1FE__bin.11_01545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,138,0,0,0,0,0,0
A36_02_1FE__bin.11_01546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0
A36_02_1FE__bin.11_01547,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,127,0,0,0,0,0,0
A36_02_1FE__bin.11_01548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,47,0,0,0,0,0,0
A36_02_1FE__bin.11_01549,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,9,0,0,0,0,53,0,3,0,227,1,0,0,0,0,0,0,0,5,0,2,4,0,0,0,0,4,0,0,0,8,0,0,4,0,0,0,0,0,0,169,138,0,0,0,0,0,0,0,0,0,3,0,0,0,0,924,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,955,0,0,0,0,0,0
A36_02_1FE__bin.11_01550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,71,0,0,0,0,0,0
A36_02_1FE__bin.11_01551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
A36_02_1FE__bin.11_01552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0
A36_02_1FE__bin.11_01553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
A36_02_1FE__bin.11_01554,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,0,0
A36_02_1FE__bin.11_01555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0
A36_02_1FE__bin.11_01556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0
A36_02_1FE__bin.11_01557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
A36_02_1FE__bin.11_01558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,752,0,0,0,0,0,0
A36_02_1FE__bin.11_01559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0
A36_02_1FE__bin.11_01560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,433,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,13,0,0,0,0,0,432,0,0,0,0,0,0
A36_02_1FE__bin.11_01562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,362,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,204,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0
A36_02_1FE__bin.11_01563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0
A36_02_1FE__bin.11_01564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,149,0,0,0,192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,491,251,0,0,0,0,0,0,0,0,1,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,1,0,0,0,0,0
A36_02_1FE__bin.11_01565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0
A36_02_1FE__bin.11_01566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,24,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,105,85,0,0,0,0,0,0,0,0,0,0,0,0,0,5,250,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0
A36_02_1FE__bin.11_01567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0
A36_02_1FE__bin.11_01571,2,0,0,0,0,1,0,11,1,0,0,0,0,1,0,0,1,0,5,0,0,25,0,1,0,0,2,123,0,0,0,0,3,2,254,0,0,0,2,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,460,1,0,1,0,0,2,1,1,0,0,310,2,2,0,0,42,0,0,178,0,3,0,0,1,103,821,386,0,220,2,0,0,0,0,0,1,0,0,1,333,3,3,9,0,0,0,0,900,0,0,0,47,0,10
A36_02_1FE__bin.11_01589,275,0,1,0,14,1,0,346,79,12,2,1,529,141,48,33,76,1,0,0,101,0,0,3,0,50,73,603,115,159,0,123,0,1,47,2,42,2,17,6,2,0,2,1,369,27,0,5,0,193,4,40,0,615,564,50,98,16,10,20,0,102,89,6,146,185,75,20,4,1,113,121,8,115,91,0,399,2,169,193,99,799,135,64,3,77,64,50,332,267,261,1,1,41,2,122,171,22,142,245,149,0,8,242,26,0,2,36,29,0
A36_02_1FE__bin.11_01590,77,0,0,0,2,0,0,96,17,1,0,0,122,32,17,2,14,0,0,2,27,0,0,0,0,14,1,145,44,64,0,8,0,0,17,0,12,1,0,0,0,0,0,0,103,2,0,2,0,34,0,16,0,168,146,5,18,4,2,1,2,46,5,0,16,55,20,0,1,0,22,27,0,20,32,0,113,0,31,70,18,158,31,11,0,9,34,9,66,60,151,0,0,19,0,38,33,4,34,80,44,0,0,57,7,0,1,1,1,0
A36_02_1FE__bin.11_01591,131,0,0,1,16,0,0,659,55,7,0,1,210,113,62,60,88,0,0,0,215,0,0,0,0,106,81,781,347,284,0,136,0,0,87,2,30,2,13,1,1,3,1,2,222,4,0,43,24,192,2,107,0,1307,611,13,264,22,1,12,0,217,133,1,149,303,84,42,4,1,118,155,24,178,153,1,574,1,22,300,36,928,115,73,2,71,177,39,195,44,353,3,0,36,0,90,156,7,93,386,89,0,4,135,2,0,0,32,29,0
A36_02_1FE__bin.11_01592,0,1,0,0,3,0,0,176,35,3,0,0,37,0,0,12,24,0,1,0,57,1,1,1,0,33,27,197,104,59,1,63,0,0,10,2,12,3,3,2,2,0,0,3,0,1,0,8,0,69,0,40,1,340,148,3,66,3,2,3,0,48,19,1,54,66,45,3,1,3,31,51,6,60,51,0,190,2,1,94,3,208,9,20,4,31,64,16,58,1,81,0,3,1,1,6,16,2,37,104,0,0,1,5,4,1,0,4,0,0
A36_02_1FE__bin.11_01593,64,1,1,2,14,0,0,181,46,11,0,2,20,3,10,30,99,1,1,0,55,4,2,1,1,33,34,227,120,108,1,104,0,4,53,2,32,4,7,4,2,5,7,3,21,2,0,16,4,101,1,49,0,544,193,12,129,6,3,6,0,29,34,2,55,178,34,25,6,7,39,95,16,95,92,1,248,3,112,132,62,333,78,36,15,60,81,16,90,3,69,3,4,8,2,4,12,15,53,120,3,1,5,32,13,2,1,17,25,3
A36_02_1FE__bin.11_01594,262,0,0,1,13,0,0,450,67,9,0,0,646,125,23,79,139,1,1,0,115,0,2,0,0,85,43,701,223,189,0,138,1,0,29,3,16,3,2,5,3,2,1,1,349,20,0,18,9,168,1,75,1,1088,503,26,155,3,12,3,0,138,72,3,148,261,116,31,1,1,47,176,18,168,135,0,559,3,157,287,84,894,192,47,6,56,157,47,266,48,361,6,1,28,1,77,167,12,162,309,110,1,3,204,7,0,2,18,54,0
A36_02_1FE__bin.11_01595,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,48,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,197,1,0,0,0,1,0,0,0,0,0,0,0,1,16,0,89,0,1,42,0,0,110,0,0,0,0,14,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A36_02_1FE__bin.11_01596,278,0,0,1,40,0,0,468,136,11,1,0,950,23,13,90,205,0,0,0,113,1,0,1,0,122,80,647,385,258,1,194,0,0,86,4,20,3,19,3,0,0,0,9,320,20,0,34,13,239,0,112,0,1400,581,27,216,3,6,10,0,58,117,0,246,365,97,39,3,0,122,275,25,207,238,1,706,3,288,348,137,780,220,96,18,110,227,89,278,78,437,1,1,19,0,53,91,19,168,388,44,0,2,276,6,0,1,42,12,1
A36_02_1FE__bin.11_01597,221,0,0,0,80,0,0,292,67,32,0,0,1,42,0,70,19,1,1,0,39,0,0,1,0,26,18,154,2,181,0,6,0,1,27,0,45,0,1,2,2,2,1,13,65,22,0,0,0,4,0,26,0,92,70,227,79,0,6,10,0,21,72,0,3,38,25,15,52,1,17,571,55,83,56,0,24,3,0,64,121,86,41,85,53,30,0,67,68,252,35,97,84,78,0,288,3,310,31,289,26,0,0,66,0,0,0,26,10,111
A36_02_1FE__bin.11_01730,0,0,0,0,40,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,4,292,0,0,0,64,0,0,0,0,0,0,0,0,735,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,374,1,0
A36_02_1FE__bin.11_01747,0,0,0,3,59,0,0,15,1,0,0,0,0,0,131,0,203,0,0,0,141,144,0,0,0,48,0,14,0,84,89,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,69,0,0,1,0,0,0,0,0,0,260,90,1,0,0,0,19,0,0,20,0,0,25,0,0,359,245,1252,0,88,0,0,0,0,0,0,0,0,0,0,382,0,96,70,0,8,0,0,293,0,0,0,33,0,14
A36_02_1FE__bin.11_01777,0,0,0,0,0,0,0,10,1,0,0,0,0,0,10,0,66,0,0,0,3,3,0,0,0,0,0,5,0,17,5,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,7,27,0,7,0,0,0,0,0,2,0,0,0,0,16,0,6,3,0,0,0,0,17,0,0,0,2,0,9
A36_02_1FE__bin.11_01816,19,0,0,1,24,0,0,24,0,2,0,0,0,0,0,0,1606,0,1,0,1,0,0,0,0,1,2,0,2,0,0,0,5,0,89,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,2,56,0,2,207,0,0,4,2,1,0,0,2,61,0,79,0,0,0,0,102,0,0,0,1,0,16,0,0,312,341,1680,0,147,0,0,2,3,0,0,0,0,0,0,0,0,0,78,5,2,0,0,269,0,0,0,109,0,115
